2020-11-19T11:32:08.464Z,3Initializing Gyro
2020-11-19T11:32:08.496Z,Testing Gyro connections...
2020-11-19T11:32:08.528Z,Gyro connection successful
2020-11-19T11:32:08.560Z,Calibration ACCELERO...
2020-11-19T11:32:16.410Z,-0.06,0.57
2020-11-19T11:32:16.424Z,-0.06,0.56
2020-11-19T11:32:16.440Z,-0.05,0.56
2020-11-19T11:32:16.440Z,-0.05,0.56
2020-11-19T11:32:16.456Z,-0.05,0.56
2020-11-19T11:32:16.472Z,-0.05,0.56
2020-11-19T11:32:16.487Z,-0.05,0.56
2020-11-19T11:32:16.488Z,-0.05,0.56
2020-11-19T11:32:16.503Z,-0.05,0.56
2020-11-19T11:32:16.520Z,-0.06,0.57
2020-11-19T11:32:16.535Z,-0.05,0.57
2020-11-19T11:32:16.551Z,-0.05,0.57
2020-11-19T11:32:16.552Z,-0.05,0.56
2020-11-19T11:32:16.567Z,-0.05,0.56
2020-11-19T11:32:16.583Z,-0.05,0.56
2020-11-19T11:32:16.599Z,-0.06,0.56
2020-11-19T11:32:16.615Z,-0.05,0.56
2020-11-19T11:32:16.615Z,-0.05,0.56
2020-11-19T11:32:16.631Z,-0.05,0.57
2020-11-19T11:32:16.647Z,-0.05,0.57
2020-11-19T11:32:16.663Z,-0.05,0.56
2020-11-19T11:32:16.684Z,-0.05,0.56
2020-11-19T11:32:16.685Z,-0.05,0.56
2020-11-19T11:32:16.695Z,-0.05,0.56
2020-11-19T11:32:16.711Z,-0.05,0.56
2020-11-19T11:32:16.727Z,-0.05,0.57
2020-11-19T11:32:16.728Z,-0.05,0.57
2020-11-19T11:32:16.743Z,-0.06,0.56
2020-11-19T11:32:16.759Z,-0.06,0.56
2020-11-19T11:32:16.775Z,-0.06,0.56
2020-11-19T11:32:16.791Z,-0.05,0.57
2020-11-19T11:32:16.794Z,-0.05,0.56
2020-11-19T11:32:16.806Z,-0.06,0.57
2020-11-19T11:32:16.822Z,-0.05,0.57
2020-11-19T11:32:16.838Z,-0.05,0.56
2020-11-19T11:32:16.839Z,-0.05,0.56
2020-11-19T11:32:16.855Z,-0.05,0.56
2020-11-19T11:32:16.870Z,-0.05,0.56
2020-11-19T11:32:16.886Z,-0.06,0.57
2020-11-19T11:32:16.902Z,-0.05,0.56
2020-11-19T11:32:16.903Z,-0.05,0.56
2020-11-19T11:32:16.918Z,-0.05,0.56
2020-11-19T11:32:16.934Z,-0.05,0.56
2020-11-19T11:32:16.950Z,-0.05,0.56
2020-11-19T11:32:16.966Z,-0.06,0.56
2020-11-19T11:32:16.966Z,-0.05,0.57
2020-11-19T11:32:16.982Z,-0.05,0.56
2020-11-19T11:32:16.998Z,-0.05,0.57
2020-11-19T11:32:17.014Z,-0.05,0.56
2020-11-19T11:32:17.015Z,-0.05,0.57
2020-11-19T11:32:17.030Z,-0.05,0.56
2020-11-19T11:32:17.046Z,-0.05,0.56
2020-11-19T11:32:17.062Z,-0.05,0.56
2020-11-19T11:32:17.079Z,-0.05,0.56
2020-11-19T11:32:17.081Z,-0.05,0.57
2020-11-19T11:32:17.094Z,-0.06,0.57
2020-11-19T11:32:17.110Z,-0.05,0.57
2020-11-19T11:32:17.126Z,-0.05,0.57
2020-11-19T11:32:17.142Z,-0.05,0.57
2020-11-19T11:32:17.145Z,-0.05,0.56
2020-11-19T11:32:17.159Z,-0.05,0.56
2020-11-19T11:32:17.173Z,-0.05,0.56
2020-11-19T11:32:17.189Z,-0.05,0.57
2020-11-19T11:32:17.190Z,-0.05,0.56
2020-11-19T11:32:17.206Z,-0.05,0.56
2020-11-19T11:32:17.221Z,-0.05,0.56
2020-11-19T11:32:17.237Z,-0.05,0.57
2020-11-19T11:32:17.253Z,-0.06,0.57
2020-11-19T11:32:17.255Z,-0.06,0.56
2020-11-19T11:32:17.269Z,-0.05,0.56
2020-11-19T11:32:17.285Z,-0.06,0.56
2020-11-19T11:32:17.301Z,-0.05,0.57
2020-11-19T11:32:17.301Z,-0.05,0.56
2020-11-19T11:32:17.317Z,-0.05,0.56
2020-11-19T11:32:17.333Z,-0.05,0.57
2020-11-19T11:32:17.349Z,-0.05,0.56
2020-11-19T11:32:17.365Z,-0.05,0.57
2020-11-19T11:32:17.365Z,-0.05,0.57
2020-11-19T11:32:17.381Z,-0.06,0.56
2020-11-19T11:32:17.397Z,-0.05,0.56
2020-11-19T11:32:17.413Z,-0.05,0.56
2020-11-19T11:32:17.429Z,-0.05,0.56
2020-11-19T11:32:17.429Z,-0.05,0.56
2020-11-19T11:32:17.445Z,-0.06,0.56
2020-11-19T11:32:17.461Z,-0.05,0.57
2020-11-19T11:32:17.477Z,-0.05,0.56
2020-11-19T11:32:17.478Z,-0.05,0.56
2020-11-19T11:32:17.492Z,-0.05,0.56
2020-11-19T11:32:17.508Z,-0.05,0.56
2020-11-19T11:32:17.525Z,-0.05,0.56
2020-11-19T11:32:17.541Z,-0.05,0.56
2020-11-19T11:32:17.545Z,-0.05,0.56
2020-11-19T11:32:17.556Z,-0.05,0.56
2020-11-19T11:32:17.572Z,-0.05,0.56
2020-11-19T11:32:17.588Z,-0.05,0.56
2020-11-19T11:32:17.604Z,-0.05,0.56
2020-11-19T11:32:17.605Z,-0.06,0.56
2020-11-19T11:32:17.620Z,-0.05,0.56
2020-11-19T11:32:17.636Z,-0.05,0.56
2020-11-19T11:32:17.652Z,-0.05,0.56
